职位名称,公司名称,公司类型,融资情况,公司规模
ACG云存储部_资深云存储研发工程师(J17367)【深圳-南山区】,Baidu,互联网,美股上市,10000人以上
云存储研发工程师【北京】,联通数字科技有限公司,计算机软件,融资未公开,2000-5000人
存储运维工程师【北京-海淀区】,成都忆享科技有限公司,云计算/大数据,其他,5000-10000人
分布式存储产品化开发工程师 北上杭西成【北京】,某北京大型云计算/大数据公司,云计算/大数据,D轮及以上,10000人以上
产品经理【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储开发工程师【北京】,某大型云厂商,云计算,战略融资,10000人以上
分布式存储开发工程师【北京】,某大型云厂商,云计算,战略融资,10000人以上
云存储架构师【北京-海淀区】,浪潮云服务,IT服务, ,2000-5000人
Ceph分布式存储研发工程师【成都】,EasyStack,计算机软件,D轮,100-499人
主机存储工程师【石家庄】,中移集成,IT服务,融资未公开,2000-5000人
高级存储软件工程师（长沙）【长沙-开福区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
云存储工程师【北京】,联通云数据,互联网, ,500-999人
高级存储研发工程师【北京】,联通云数据,互联网, ,500-999人
金融行业技术架构师-火山引擎【北京-海淀区】,字节跳动,互联网,其他,10000人以上
分布式软件开发专家【南京】,某深圳大型通信设备公司,通信设备,融资未公开,10000人以上
云存储研发工程师【北京-海淀区】,联通数字科技有限公司,计算机软件,融资未公开,2000-5000人
Ceph高级研发工程师（郑州）(J10266)【郑州-郑东新区】,中国电信集团系统集成有限责任公司,IT服务, ,10000人以上
电子技术研发工程师【北京-海淀区】,Baidu,互联网,美股上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名通信上市公司,机械/机电/重工,融资未公开,10000人以上
云存储研发工程师【北京-海淀区】,联通数字科技有限公司,计算机软件,融资未公开,2000-5000人
云计算高级系统工程师【上海】,上海瞰融信息,计算机软件,其他,50-99人
非结构化存储开发工程师 (MJ000002)【北京-东城区】,中国电信股份有限公司,运营商/增值服务,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳知名上市公司,通信设备,已上市,5000-10000人
虚拟化工程师【上海】,上海瞰融信息,计算机软件,其他,50-99人
系统工程师【北京】,阳光保险集团,保险, ,10000人以上
云计算高级系统工程师【上海】,上海瞰融信息,计算机软件,其他,50-99人
云存储研发工程师(J17367)【北京-海淀区】,Baidu,互联网,美股上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名上市公司,通信设备,已上市,10000人以上
ceph开发工程师【杭州-余杭区】,杭州瑞网广通信息技术有限公司,计算机硬件,融资未公开,100-499人
虚拟化开发工程师【上海】,上海瞰融信息,计算机软件,其他,50-99人
存储产品经理【杭州】,抖音视界有限公司,计算机软件,D轮,10000人以上
分布式云存储研发工程师【南京-雨花台区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
分布式存储技术经理Ceph【西安】,西安汉柏电子科技有限公司,IT服务,融资未公开,50-99人
私有云高级存储运维工程师(t4-t6级别)【北京】,Baidu,互联网,美股上市,10000人以上
混合云存储&数据库开发工程师【上海-闵行区】,字节跳动,互联网,其他,10000人以上
混合云存储&数据库开发工程师【深圳-南山区】,字节跳动,互联网,其他,10000人以上
混合云存储&数据库开发工程师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
存储工程师【北京】,北京市计算中心,IT服务,天使轮,100-499人
存储解决方案架构师【杭州】,抖音视界有限公司,计算机软件,D轮,10000人以上
分布式存储产品化开发工程师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
存储架构工程师【上海】,网岳信息,通信设备,融资未公开,100-499人
c++软件工程师【济南】,浪潮云服务,IT服务, ,2000-5000人
云计算产品经理-IaaS-云存储方向【北京】,上海浪潮云计算服务有限公司,通信设备,融资未公开,10000人以上
EDS存储专家【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
基础架构部-解决方案专家 (MJ006490)【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
Ceph高级研发工程师(J10084)【北京-西城区】,中国电信集团系统集成有限责任公司,IT服务, ,10000人以上
百度智能云存储方向测试开发工程师【北京-海淀区】,百度时代网络,在线社交/媒体,已上市,10000人以上
存储系统研发工程师【北京】,Baidu,互联网,美股上市,10000人以上
移动云工单响应专家【杭州-滨江区】,天玑科技,计算机软件,已上市,1000-2000人
系统管理员【北京】,阳光保险集团,保险, ,10000人以上
云存储产品经理【北京】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
Ceph研发工程师【深圳】,中盛瑞达,计算机软件,融资未公开,100-499人
System Engineer，Storage【上海-徐汇区】,闻泰通讯股份有限公司,电子/半导体/集成电路,战略投资,10000人以上
高级存储开发工程师【深圳-南山区】,华瑞指数云,计算机软件,融资未公开,100-499人
分布式系统研发工程师【北京-海淀区】,百度时代网络,在线社交/媒体,已上市,10000人以上
c++开发工程师【杭州】,杭州瑞网广通信息技术有限公司,计算机硬件,融资未公开,100-499人
存储工程师（二线）【杭州-滨江区】,北京蓝博动力科技有限公司,服装/纺织/皮革, ,1-49人
阿里云智能-弹性计算产品专家-杭州【杭州】,阿里巴巴集团,互联网,港股上市,10000人以上
存储测试工程师【盐城-盐都区】,北京睿芯高通量科技有限公司,电子/半导体/集成电路, ,100-499人
存储测试工程师【北京-海淀区】,北京睿芯高通量科技有限公司,电子/半导体/集成电路, ,100-499人
数据中心Manager【广州】,文远知行WeRide,人工智能,C轮,100-499人
硬件解决方案架构及应用优化工程师（经典传统存储方向）【北京-海淀区】,字节跳动,互联网,其他,10000人以上
存储测试工程师【苏州-工业园区】,北京睿芯高通量科技有限公司,电子/半导体/集成电路, ,100-499人
数据中心主管【上海】,文远知行WeRide,人工智能,C轮,100-499人
分布式存储首席架构师【成都】,华为,通信设备, ,10000人以上
Java软件开发【深圳】,某深圳大型通信公司,通信设备,融资未公开,10000人以上
Java开发【成都】,某深圳大型通信公司,通信设备,融资未公开,10000人以上
后端Java工程师【杭州】,某深圳大型通信公司,通信设备,融资未公开,10000人以上
分布式存储首席架构师【杭州】,华为,通信设备, ,10000人以上
TEG09-高级存储平台运维工程师（深圳）【深圳】,腾讯,互联网,已上市,10000人以上
平台运维工程师【北京-海淀区】,北京仕才小筑科技有限公司,互联网,融资未公开,5000-10000人
分布式存储首席架构师【深圳】,华为,通信设备, ,10000人以上
ByteStore池化存储解决方案架构师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
SDS存储工程师【上海-浦东新区】,上汽云计算中心,云计算/大数据,其他,100-499人
TEG06-分布式存储高级工程师（北京）【北京】,腾讯,互联网,已上市,10000人以上
TEG06-分布式存储高级工程师（深圳）【深圳】,腾讯,互联网,已上市,10000人以上
解决方案销售经理（鲁西）【济南-历下区】,SmartX,计算机软件,C轮,100-499人
解决方案销售经理【石家庄-裕华区】,SmartX,计算机软件,C轮,100-499人
云解决方案架构师【上海-黄浦区】,达科信息科技(北京),IT服务, ,100-499人
